Days passed,VET,SHA,APY
0,186.23075456834616,5956.285908927853,0.0
1,190.7795025717724,5848.434822844504,0.9818567440738012
2,190.03033053687125,5890.644188119825,0.8048197750595437
3,186.7004556063458,6017.610274555307,0.7714093978748146
4,188.0218506411379,5989.469864639665,0.6860720000225573
5,191.47949364936142,5895.237008514598,0.6212626186486869
